county_fips_code,in_lockdown,pct_change,pop,label,date,datevalue,category
20107,TRUE,-0.655,1310873,电视剧品质盛典,2021-03-13,44268,电视剧-国产剧
20109,TRUE,-0.552,1309573,张桂梅是177个福利院孩子的妈妈,2021-05-07,44323,社会
20111,TRUE,-0.524,1309182,原来你是这样的杨利伟,2021-03-10,44265,军事
20113,TRUE,-0.717,1307935,唐探3广告植入,2021-02-13,44240,
20115,TRUE,-0.88,1307860,山东春晚,2021-02-09,44236,综艺-内地综艺
20117,TRUE,-0.654,1307033,现实版樊胜美家属获赔16万,2021-01-27,44223,社会
20119,TRUE,-0.874,1305171,动画片能多具有教育意义,2021-05-22,44338,电视剧
20121,TRUE,-0.875,1304824,张彬彬 甜甜你别动我来找你,2021-04-05,44291,
20123,TRUE,-0.819,1304315,沙溢 今天还得替你们抱坤坤,2021-03-30,44285,
20125,TRUE,-0.47,1302520,杭州杀妻案嫌犯家属希望不判死刑,2021-05-14,44330,社会
20127,TRUE,-0.913,1300511,货拉拉回应女子跳窗身亡,2021-02-22,44249,社会
20129,TRUE,-0.512,1300405,Kingdom,2021-04-01,44287,综艺-日韩综艺
20131,TRUE,-0.746,1300245,总理记者会,2021-03-11,44266,政务
20133,TRUE,-0.627,1299635,恋爱一年以上的聊天记录,2021-05-06,44322,情感
20135,TRUE,-0.906,1297636,张新成造型 费渡,2021-02-28,44255,
20137,TRUE,-0.764,1297175,硬糖少女伴舞,2021-04-24,44310,
20139,TRUE,-0.708,1295622,南航回应买快乐飞后遇14次航变,2021-04-07,44293,社会
20141,TRUE,-0.597,1295567,周也哭了,2021-05-03,44319,电视剧
20143,TRUE,-0.537,1294682,王冰冰采访丁真,2021-02-04,44231,综艺
20145,TRUE,-0.463,1294087,王牌对王牌,2021-03-12,44267,综艺-内地综艺
20147,TRUE,-0.752,1289595,王牌对王牌,2021-04-02,44288,综艺-内地综艺
20149,TRUE,-0.52,1288941,甘肃马拉松遇难者家属获赔95万元,2021-05-25,44341,社会
20151,TRUE,-0.428,1285781,沸羊羊是米卡后援会会长吧,2021-03-13,44268,明星-内地
20153,TRUE,-0.811,1285298,武汉急寻河北确诊病例密切接触者,2021-01-12,44208,社会
20155,TRUE,-0.46,1284441,小舍得 气死,2021-04-15,44301,
20157,TRUE,-0.805,1281581,杭州杀妻案嫌犯亲属回应,2021-01-28,44224,社会
20159,TRUE,-0.865,1280819,定义 难听,2021-04-24,44310,
20161,TRUE,-0.498,1280372,苏州龙卷风,2021-05-14,44330,社会
20163,TRUE,-0.927,1279875,中国是首个和世卫联合溯源的国家,2021-03-31,44286,社会
20165,TRUE,-0.869,1278471,李现杨紫同框,2021-03-31,44286,
20167,TRUE,-0.868,1278392,孙怡 刘宇你给我C位出道,2021-03-27,44282,
